Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
TORSO,-0.001,0.01,-0.01,0,0,0,15.702,0.12,-0.002,0.001,0.487,-0.001,0.553,0,0,0,0,0,0,package://krm_qugv/meshes/TORSO.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/TORSO.STL,,01. ASS_Int_Torso-1,TORSO,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_HIP,-0.009,0.001,0,0,0,0,1.683,0.003,0,0,0.004,0,0.003,0,0,0,0,0,0,package://krm_qugv/meshes/FL_HIP.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/FL_HIP.STL,,02. Hip-1;03. HR_Origin_HP-1;04. HP_Origin_HP-1;06. HP_Wire-1;socket head cap screw2_iso-2;socket head cap screw2_iso-3;socket head cap screw2_iso-4;socket head cap screw2_iso-5,FL_HIP,FL_HR_JOINT,FL_HR_JOINT,revolute,0.3985,0.07,0,0,0,0,TORSO,-1,0,0,150,100,-0.785,0.785,,,,,,,,
FL_THIGH,-0.007,-0.022,-0.056,0,0,0,3.615,0.047,-0.001,0.003,0.047,-0.004,0.007,0,0,0,0,0,0,package://krm_qugv/meshes/FL_THIGH.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/FL_THIGH.STL,,03. Thigh-1;05. Input_Link-1;07. Rod-1,FL_THIGH,FL_HP_JOINT,FL_HP_JOINT,revolute,0,0.11125,0,0,0,0,FL_HIP,0,-1,0,150,100,-2.356,2.356,,,,,,,,
FL_CALF,0.002,0,-0.171,0,0,0,0.968,0.02,0,0,0.021,0,0,0,0,0,0,0,0,package://krm_qugv/meshes/FL_CALF.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/FL_CALF.STL,,08. Calf-1,FL_CALF,FL_KN_JOINT,FL_KN_JOINT,revolute,0,0,-0.35,0,0,0,FL_THIGH,0,-1,0,150,100,-2.844,0,,,,,,,,
FL_TIP,0,-0.004,0,0,0,0,1E-05,0,0,0,0,0,0,0,0,0,0,0,0,package://krm_qugv/meshes/FL_TIP.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/FL_TIP.STL,,08. Calf-1/socket head cap screw_RM_iso-9,FL_TIP,FL_TP_JOINT,FL_TP_JOINT,revolute,0,0,-0.35,0,0,0,FL_CALF,0,-1,0,0,0,0,0,,,,,,,,
FR_HIP,-0.009,-0.001,0,0,0,0,1.683,0.003,0,0,0.004,0,0.003,0,0,0,0,0,0,package://krm_qugv/meshes/FR_HIP.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/FR_HIP.STL,,socket head cap screw2_iso-9;socket head cap screw2_iso-8;02. Hip-2;03. HR_Origin_HP-2;04. HP_Origin_HP_M-1;06. HP_Wire_M-1;socket head cap screw2_iso-6;socket head cap screw2_iso-7,FR_HIP,FR_HR_JOINT,FR_HR_JOINT,revolute,0.3985,-0.07,0,0,0,0,TORSO,-1,0,0,150,100,-0.785,0.785,,,,,,,,
FR_THIGH,-0.007,0.022,-0.056,0,0,0,3.617,0.047,0.001,0.003,0.047,0.004,0.007,0,0,0,0,0,0,package://krm_qugv/meshes/FR_THIGH.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/FR_THIGH.STL,,04. Thigh-M-2;06. Input_Link-M-2;07. Rod-4,FR_THIGH,FR_HP_JOINT,FR_HP_JOINT,revolute,0,-0.11125,0,0,0,0,FR_HIP,0,1,0,150,100,-2.356,2.356,,,,,,,,
FR_CALF,0.002,0,-0.171,0,0,0,0.968,0.02,0,0,0.021,0,0,0,0,0,0,0,0,package://krm_qugv/meshes/FR_CALF.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/FR_CALF.STL,,09. Calf-M-1,FR_CALF,FR_KN_JOINT,FR_KN_JOINT,revolute,0,0,-0.35,0,0,0,FR_THIGH,0,1,0,150,100,0,2.844,,,,,,,,
FR_TIP,0,-0.004,0,0,0,0,1E-05,0,0,0,0,0,0,0,0,0,0,0,0,package://krm_qugv/meshes/FR_TIP.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/FR_TIP.STL,,09. Calf-M-1/socket head cap screw_RM_iso-13,FR_TIP,FR_TP_JOINT,FR_TP_JOINT,revolute,0,0,-0.35,0,0,0,FR_CALF,0,1,0,0,0,0,0,,,,,,,,
RL_HIP,0.009,0.001,0,0,0,0,1.683,0.003,0,0,0.004,0,0.003,0,0,0,0,0,0,package://krm_qugv/meshes/RL_HIP.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/RL_HIP.STL,,02. Hip-3;04. HP_Origin_HP_M-2;06. HP_Wire_M-2;03. HR_Origin_HP-4;socket head cap screw2_iso-10;socket head cap screw2_iso-11;socket head cap screw2_iso-12;socket head cap screw2_iso-13,RL_HIP,RL_HR_JOINT,RL_HR_JOINT,revolute,-0.3985,0.07,0,0,0,0,TORSO,1,0,0,150,100,-0.785,0.785,,,,,,,,
RL_THIGH,0.007,-0.022,-0.056,0,0,0,3.617,0.047,0.001,-0.003,0.047,-0.004,0.007,0,0,0,0,0,0,package://krm_qugv/meshes/RL_THIGH.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/RL_THIGH.STL,,04. Thigh-M-3;06. Input_Link-M-1;07. Rod-3,RL_THIGH,RL_HP_JOINT,RL_HP_JOINT,revolute,0,0.11125,0,0,0,0,RL_HIP,0,-1,0,150,100,-2.356,2.356,,,,,,,,
RL_CALF,-0.002,0,-0.171,0,0,0,0.968,0.02,0,0,0.021,0,0,0,0,0,0,0,0,package://krm_qugv/meshes/RL_CALF.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/RL_CALF.STL,,09. Calf-M-2,RL_CALF,RL_KN_JOINT,RL_KN_JOINT,revolute,0,0,-0.35,0,0,0,RL_THIGH,0,-1,0,150,100,0,2.844,,,,,,,,
RL_TIP,0,0.004,0,0,0,0,1E-05,0,0,0,0,0,0,0,0,0,0,0,0,package://krm_qugv/meshes/RL_TIP.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/RL_TIP.STL,,09. Calf-M-2/socket head cap screw_RM_iso-13,RL_TIP,RL_TP_JOINT,FL_TP_JOINT,revolute,0,0,-0.35,0,0,0,RL_CALF,0,-1,0,0,0,0,0,,,,,,,,
RR_HIP,0.009,-0.001,0,0,0,0,1.683,0.003,0,0,0.004,0,0.003,0,0,0,0,0,0,package://krm_qugv/meshes/RR_HIP.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/RR_HIP.STL,,02. Hip-4;03. HR_Origin_HP-3;04. HP_Origin_HP-2;06. HP_Wire-2;socket head cap screw2_iso-14;socket head cap screw2_iso-15;socket head cap screw2_iso-16;socket head cap screw2_iso-17,RR_HIP,RR_HR_JOINT,RR_HR_JOINT,revolute,-0.3985,-0.07,0,0,0,0,TORSO,1,0,0,150,100,-0.785,0.785,,,,,,,,
RR_THIGH,0.007,0.022,-0.056,0,0,0,3.615,0.047,-0.001,-0.003,0.047,0.004,0.007,0,0,0,0,0,0,package://krm_qugv/meshes/RR_THIGH.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/RR_THIGH.STL,,03. Thigh-2;05. Input_Link-2;07. Rod-2,RR_THIGH,RR_HP_JOINT,RR_HP_JOINT,revolute,0,-0.11125,0,0,0,0,RR_HIP,0,1,0,150,100,-2.356,2.356,,,,,,,,
RR_CALF,-0.002,0,-0.171,0,0,0,0.968,0.02,0,0,0.021,0,0,0,0,0,0,0,0,package://krm_qugv/meshes/RR_CALF.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/RR_CALF.STL,,08. Calf-2,RR_CALF,RR_KN_JOINT,RR_KN_JOINT,revolute,0,0,-0.35,0,0,0,RR_THIGH,0,1,0,150,100,-2.844,0,,,,,,,,
RR_TIP,0,0.004,0,0,0,0,1E-05,0,0,0,0,0,0,0,0,0,0,0,0,package://krm_qugv/meshes/RR_TIP.STL,1,1,1,1,0,0,0,0,0,0,package://krm_qugv/meshes/RR_TIP.STL,,08. Calf-2/socket head cap screw_RM_iso-9,RR_TIP,RR_TP_JOINT,RR_TP_JOINT,revolute,0,0,-0.35,0,0,0,RR_CALF,0,1,0,0,0,0,0,,,,,,,,
